component_type,component_id,version,relationship,scope,owner,upstream_publisher,source,purpose,declared_license,license_evidence,proposed_license_conclusion,proposed_installation_rights,proposed_redistribution_rights,distribution_plan,integrity_algorithm,integrity_value,provenance_reference,limitations
"catalog-application","generic.synthetic.document-editor","0.0.0-fixture.1","direct","catalog-application","Principal Software Architect","ThirdLife Setup Core project","https://example.invalid/thirdlife/synthetic-catalog/generic.synthetic.document-editor/0.0.0-fixture.1","Resolve the synthetic document-editing capability in deterministic fixture tests without an installable package","NOASSERTION","https://example.invalid/thirdlife/synthetic-catalog/NOASSERTION","Proposed pending; NOASSERTION records no licence conclusion for this project-created synthetic placeholder","Proposed withheld; this synthetic placeholder is non-installable and admits no package artifact","Proposed withheld; no redistribution right or binary distribution is admitted","not-shipped","sha256","7f80078a24d9fa890738d344d3c705549c45d17d7712ce1f8d543d4ce47f8901","fixtures/catalog/catalog.yaml","Project-created synthetic production_eligible: false placeholder only; non-installable; no artifact or binary; licence conclusion pending; package licence and privacy review remains required before any production catalogue use."
"catalog-application","generic.synthetic.pdf-reader","0.0.0-fixture.1","direct","catalog-application","Principal Software Architect","ThirdLife Setup Core project","https://example.invalid/thirdlife/synthetic-catalog/generic.synthetic.pdf-reader/0.0.0-fixture.1","Resolve the synthetic PDF-reading capability in deterministic fixture tests without an installable package","NOASSERTION","https://example.invalid/thirdlife/synthetic-catalog/NOASSERTION","Proposed pending; NOASSERTION records no licence conclusion for this project-created synthetic placeholder","Proposed withheld; this synthetic placeholder is non-installable and admits no package artifact","Proposed withheld; no redistribution right or binary distribution is admitted","not-shipped","sha256","7f80078a24d9fa890738d344d3c705549c45d17d7712ce1f8d543d4ce47f8901","fixtures/catalog/catalog.yaml","Project-created synthetic production_eligible: false placeholder only; non-installable; no artifact or binary; licence conclusion pending; package licence and privacy review remains required before any production catalogue use."
"catalog-application","generic.synthetic.video-calling","0.0.0-fixture.1","direct","catalog-application","Principal Software Architect","ThirdLife Setup Core project","https://example.invalid/thirdlife/synthetic-catalog/generic.synthetic.video-calling/0.0.0-fixture.1","Resolve the synthetic video-calling capability in deterministic fixture tests without an installable package","NOASSERTION","https://example.invalid/thirdlife/synthetic-catalog/NOASSERTION","Proposed pending; NOASSERTION records no licence conclusion for this project-created synthetic placeholder","Proposed withheld; this synthetic placeholder is non-installable and admits no package artifact","Proposed withheld; no redistribution right or binary distribution is admitted","not-shipped","sha256","7f80078a24d9fa890738d344d3c705549c45d17d7712ce1f8d543d4ce47f8901","fixtures/catalog/catalog.yaml","Project-created synthetic production_eligible: false placeholder only; non-installable; no artifact or binary; licence conclusion pending; package licence and privacy review remains required before any production catalogue use."
"catalog-application","generic.synthetic.web-browser","0.0.0-fixture.1","direct","catalog-application","Principal Software Architect","ThirdLife Setup Core project","https://example.invalid/thirdlife/synthetic-catalog/generic.synthetic.web-browser/0.0.0-fixture.1","Resolve the synthetic web-browsing capability in deterministic fixture tests without an installable package","NOASSERTION","https://example.invalid/thirdlife/synthetic-catalog/NOASSERTION","Proposed pending; NOASSERTION records no licence conclusion for this project-created synthetic placeholder","Proposed withheld; this synthetic placeholder is non-installable and admits no package artifact","Proposed withheld; no redistribution right or binary distribution is admitted","not-shipped","sha256","7f80078a24d9fa890738d344d3c705549c45d17d7712ce1f8d543d4ce47f8901","fixtures/catalog/catalog.yaml","Project-created synthetic production_eligible: false placeholder only; non-installable; no artifact or binary; licence conclusion pending; package licence and privacy review remains required before any production catalogue use."
"github-action","actions/checkout","7.0.1","ci","build-only","Principal Software Architect","GitHub","https://github.com/actions/checkout/tree/3d3c42e5aac5ba805825da76410c181273ba90b1","Check out the repository in optional remote CI","MIT","https://github.com/actions/checkout/blob/3d3c42e5aac5ba805825da76410c181273ba90b1/LICENSE","Proposed MIT","Proposed allowed for CI use under MIT","Proposed allowed with the MIT copyright and permission notice","remote-ci-only","git-commit-sha1","3d3c42e5aac5ba805825da76410c181273ba90b1",".github/workflows/verify.yml; https://github.com/actions/checkout/commit/3d3c42e5aac5ba805825da76410c181273ba90b1","Fetched by GitHub Actions only; remote CI is optional and non-authoritative; action code is not shipped in Core releases."
"github-action","actions/setup-dotnet","6.0.0","ci","build-only","Principal Software Architect","GitHub","https://github.com/actions/setup-dotnet/tree/a98b56852c35b8e3190ac28c8c2271da59106c68","Install the pinned .NET SDK in optional remote CI","MIT","https://github.com/actions/setup-dotnet/blob/a98b56852c35b8e3190ac28c8c2271da59106c68/LICENSE","Proposed MIT","Proposed allowed for CI use under MIT","Proposed allowed with the MIT copyright and permission notice","remote-ci-only","git-commit-sha1","a98b56852c35b8e3190ac28c8c2271da59106c68",".github/workflows/verify.yml; https://github.com/actions/setup-dotnet/commit/a98b56852c35b8e3190ac28c8c2271da59106c68","Fetched by GitHub Actions only; remote CI is optional and non-authoritative; action code is not shipped in Core releases."
"github-action","actions/setup-python","7.0.0","ci","build-only","Principal Software Architect","GitHub","https://github.com/actions/setup-python/tree/5fda3b95a4ea91299a34e894583c3862153e4b97","Install the pinned CPython toolchain in optional remote CI","MIT","https://github.com/actions/setup-python/blob/5fda3b95a4ea91299a34e894583c3862153e4b97/LICENSE","Proposed MIT","Proposed allowed for CI use under MIT","Proposed allowed with the MIT copyright and permission notice","remote-ci-only","git-commit-sha1","5fda3b95a4ea91299a34e894583c3862153e4b97",".github/workflows/verify.yml; https://github.com/actions/setup-python/commit/5fda3b95a4ea91299a34e894583c3862153e4b97","Fetched by GitHub Actions only; remote CI is optional and non-authoritative; action code is not shipped in Core releases."
"nuget","coverlet.collector","6.0.4","direct","test-only","Principal Software Architect","coverlet-coverage project (NuGet author: tonerdo)","https://api.nuget.org/v3-flatcontainer/coverlet.collector/6.0.4/coverlet.collector.6.0.4.nupkg","Collect managed-code coverage during tests","MIT","https://www.nuget.org/packages/coverlet.collector/6.0.4","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","lkhqpF8Pu2Y7IiN7OntbsTtdbpR1syMsm2F3IgX6ootA4ffRqWL5jF7XipHuZQTdVuWG/gVAAcf8mjk8Tz0xPg==","Directory.Packages.props; tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/coverlet.collector/6.0.4.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","Microsoft.CodeCoverage","17.14.1","transitive","test-only","Principal Software Architect","Microsoft","https://api.nuget.org/v3-flatcontainer/microsoft.codecoverage/17.14.1/microsoft.codecoverage.17.14.1.nupkg","Provide the test platform code-coverage engine transitively","MIT","https://www.nuget.org/packages/Microsoft.CodeCoverage/17.14.1","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","pmTrhfFIoplzFVbhVwUquT+77CbGH+h4/3mBpdmIlYtBi9nAB+kKI6dN3A/nV4DFi3wLLx/BlHIPK+MkbQ6Tpg==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/microsoft.codecoverage/17.14.1.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","Microsoft.NET.Test.Sdk","17.14.1","direct","test-only","Principal Software Architect","Microsoft","https://api.nuget.org/v3-flatcontainer/microsoft.net.test.sdk/17.14.1/microsoft.net.test.sdk.17.14.1.nupkg","Integrate test projects with the .NET test platform","MIT","https://www.nuget.org/packages/Microsoft.NET.Test.Sdk/17.14.1","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","HJKqKOE+vshXra2aEHpi2TlxYX7Z9VFYkr+E5rwEvHC8eIXiyO+K9kNm8vmNom3e2rA56WqxU+/N9NJlLGXsJQ==","Directory.Packages.props; tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/microsoft.net.test.sdk/17.14.1.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
